09:42 RestInPeace  : omfg
09:43 RestInPeace  : arad game ghadimi :DDDDDDDDDDDDDD
09:43 RestInPeace  : getout
13:31 kasra007     : /msg itbaz2010 chetori 
14:08 aryan9595    : bruh
14:08 Mester_Arya  : xD
14:08 Mester_Arya  : diamond
14:08 aryan9595    : e
14:08 Mester_Arya  : xD
14:08 aryan9595    : ye set
14:08 aryan9595    : vasaiel
14:08 Mester_Arya  : ?
14:10 aryan9595    : khob
14:10 Mester_Arya  : haji
14:10 Mester_Arya  : vaisa
14:10 Mester_Arya  : ye ss
14:10 Mester_Arya  : miyad
14:10 Mester_Arya  : dis
14:11 aryan9595    : aryaaaa
14:11 aryan9595    : god appla
14:11 Mester_Arya  : ?
14:11 aryan9595    : nist
14:11 Mester_Arya  : eee
14:11 aryan9595    : ye seria nist asan
14:11 aryan9595    : bruuuuh
14:11 Mester_Arya  : lage
14:12 Mester_Arya  : burh
14:12 aryan9595    : vasta beram sky blocko bebinam buge onam
14:12 aryan9595    : ye seri armor hast bardar
14:12 aryan9595    : ba bow
14:12 aryan9595    : aaa
14:13 aryan9595    : fix shode
14:13 Mester_Arya  : xD
14:13 aryan9595    : vali
14:13 aryan9595    : god applamon
14:13 aryan9595    : nist
14:13 aryan9595    : bruh
14:13 aryan9595    : shop ham nemifroshe
14:13 Mester_Arya  : miram mine
14:13 aryan9595    : hale
14:13 aryan9595    : armoraro bardashti ?
14:13 aryan9595    : to chest
14:13 Mester_Arya  : ar
14:13 Mester_Arya  : burh
14:13 Mester_Arya  : ss narafte
14:14 aryan9595    : afk miram lobby
14:14 kasra007     : /msg Mester_Arya salam 
14:14 Mester_Arya  : salam
14:14 kasra007     : /msg Mester_Arya maiy play bedim? 
14:14 Mester_Arya  : :/
14:15 kasra007     : :/
14:15 kasra007     : streamm
14:15 Mester_Arya  : solo
14:15 Mester_Arya  : behtare
14:15 kasra007     : ek item hadeagl midi?
14:15 Mester_Arya  : starteram hanoz :/
14:15 Mester_Arya  : taze raftam mine
14:15 kasra007     : khobe
14:16 aryan9595    : khob
14:16 Mester_Arya  : /msg aryan9595 msg kon 
14:16 Mester_Arya  : /msg aryan9595 en omade 
14:16 aryan9595    : /msg Mester_Arya ok 
14:17 Mester_Arya  : /msg aryan9595 migam solo hastam xD 
14:17 Mester_Arya  : ee
14:17 Mester_Arya  : /msg aryan9595 ye pickemon nashe ? 
14:17 aryan9595    : /msg Mester_Arya yedonast xD 
14:17 Mester_Arya  : /msg aryan9595 gharz xD 
14:17 aryan9595    : /msg Mester_Arya mitoni dublivate koni xD 
14:17 aryan9595    : /msg Mester_Arya diamond pada kon 
14:17 Mester_Arya  : /msg aryan9595 bede 
14:17 aryan9595    : /msg Mester_Arya fortchen VII 
14:17 Mester_Arya  : /msg aryan9595 ta pida konam 
14:18 Mester_Arya  : /msg aryan9595 4 ta daram 
14:18 Mester_Arya  : /msg aryan9595 ye ss 
14:18 aryan9595    : xD
14:18 Mester_Arya  : /msg aryan9595 ye ss gereftam 
14:18 Mester_Arya  : /msg aryan9595 kol enja 
14:18 Mester_Arya  : /msg aryan9595 iron hastttttt 
14:18 Mester_Arya  : /msg aryan9595 mar pichi 
14:18 Mester_Arya  : /msg aryan9595 axe bede had aghal xD 
14:19 aryan9595    : /msg Mester_Arya axe khodeto bede 
14:19 Mester_Arya  : xD
14:19 Mester_Arya  : /msg aryan9595 bia enja 
14:20 Mester_Arya  : /msg aryan9595 picko bad bede mikham lvl begiram 
14:20 Mester_Arya  : /msg aryan9595 miram chob 
14:21 aryan9595    : /msg Mester_Arya ok xD 
14:21 aryan9595    : /msg Mester_Arya khob mashti to boro chob man in dige 
14:21 Mester_Arya  : /msg aryan9595 chob mage xp mide ? 
14:21 Mester_Arya  : /msg aryan9595 IQ 
14:21 aryan9595    : /msg Mester_Arya 
14:21 aryan9595    : /msg Mester_Arya fek kardam level in pluginaro mikhay ke skill dare 
14:21 aryan9595    : /msg Mester_Arya level sf mikhay pas 
14:22 Mester_Arya  : /msg aryan9595 har do 
14:24 Mester_Arya  : /msg aryan9595 hoe ndasht ? 
14:24 aryan9595    : /msg Mester_Arya na 
14:25 RichPlant    : hola
14:26 kasra007     : RICH
14:26 kasra007     : bia ts
14:26 RichPlant    : bash
14:33 aryan9595    : aryaaa
14:33 Mester_Arya  : haa
14:33 aryan9595    : ah
14:33 aryan9595    : combati
14:33 aryan9595    : mikhastam ino bedam
14:33 aryan9595    : bia
14:34 Mester_Arya  : /msg aryan9595 bill dasht ? 
14:35 Mester_Arya  : /msg aryan9595 bill mikham 
14:35 Mester_Arya  : /msg aryan9595 billeto bede 
14:35 aryan9595    : /msg Mester_Arya axe = bil xD trade 
14:35 Mester_Arya  : /msg aryan9595 agha 
14:35 Mester_Arya  : /msg aryan9595 gharz xD 
14:35 Mester_Arya  : /msg aryan9595 mikham flat konam enjaro 
14:36 aryan9595    : /msg Mester_Arya kir khar agha xD 
